ticker,company,fiscal_year,period_start,period_end,revenue_usd,revenue_concept,form,accession,filed,retrieved
AMD,AMD,2016,2015-12-27,2016-12-31,4319000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000002488-19-000011,2019-02-08,2026-05-15
AMD,AMD,2017,2017-01-01,2017-12-30,5253000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000002488-20-000008,2020-02-04,2026-05-15
AMD,AMD,2018,2017-12-31,2018-12-29,6475000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001628280-21-001185,2021-01-29,2026-05-15
AMD,AMD,2019,2018-12-30,2019-12-28,6731000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000002488-22-000016,2022-02-03,2026-05-15
AMD,AMD,2020,2019-12-29,2020-12-26,9763000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000002488-23-000047,2023-02-27,2026-05-15
AMD,AMD,2021,2020-12-27,2021-12-25,16434000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000002488-24-000012,2024-01-31,2026-05-15
AMD,AMD,2022,2021-12-26,2022-12-31,23601000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000002488-25-000012,2025-02-05,2026-05-15
AMD,AMD,2023,2023-01-01,2023-12-30,22680000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000002488-26-000018,2026-02-04,2026-05-15
AMD,AMD,2024,2023-12-31,2024-12-28,25785000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000002488-26-000018,2026-02-04,2026-05-15
AMD,AMD,2025,2024-12-29,2025-12-27,34639000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000002488-26-000018,2026-02-04,2026-05-15
AVGO,Broadcom,2017,2016-10-31,2017-10-29,17636000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001730168-19-000144,2019-12-20,2026-05-15
AVGO,Broadcom,2018,2017-10-30,2018-11-04,20848000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001730168-20-000226,2020-12-18,2026-05-15
AVGO,Broadcom,2019,2018-11-05,2019-11-03,22597000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001730168-21-000153,2021-12-17,2026-05-15
AVGO,Broadcom,2020,2019-11-04,2020-11-01,23888000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001730168-22-000118,2022-12-16,2026-05-15
AVGO,Broadcom,2021,2020-11-02,2021-10-31,27450000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001730168-23-000096,2023-12-14,2026-05-15
AVGO,Broadcom,2022,2021-11-01,2022-10-30,33203000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001730168-24-000139,2024-12-20,2026-05-15
AVGO,Broadcom,2023,2022-10-31,2023-10-29,35819000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001730168-25-000121,2025-12-18,2026-05-15
AVGO,Broadcom,2024,2023-10-30,2024-11-03,51574000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001730168-25-000121,2025-12-18,2026-05-15
AVGO,Broadcom,2025,2024-11-04,2025-11-02,63887000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001730168-25-000121,2025-12-18,2026-05-15
INTC,Intel,2016,2015-12-27,2016-12-31,59387000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000050863-19-000007,2019-02-01,2026-05-15
INTC,Intel,2017,2017-01-01,2017-12-30,62761000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000050863-20-000011,2020-01-24,2026-05-15
INTC,Intel,2018,2017-12-31,2018-12-29,70848000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000050863-21-000010,2021-01-22,2026-05-15
INTC,Intel,2019,2018-12-30,2019-12-28,71965000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000050863-22-000007,2022-01-27,2026-05-15
INTC,Intel,2020,2019-12-29,2020-12-26,77867000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000050863-23-000006,2023-01-27,2026-05-15
INTC,Intel,2021,2020-12-27,2021-12-25,79024000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000050863-24-000010,2024-01-26,2026-05-15
INTC,Intel,2022,2021-12-26,2022-12-31,63054000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000050863-25-000009,2025-01-31,2026-05-15
INTC,Intel,2023,2023-01-01,2023-12-30,54228000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000050863-26-000011,2026-01-23,2026-05-15
INTC,Intel,2024,2023-12-31,2024-12-28,53101000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000050863-26-000011,2026-01-23,2026-05-15
INTC,Intel,2025,2024-12-29,2025-12-27,52853000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000050863-26-000011,2026-01-23,2026-05-15
MU,Micron,2017,2016-09-02,2017-08-31,20322000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000723125-19-000094,2019-10-17,2026-05-15
MU,Micron,2018,2017-09-01,2018-08-30,30391000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000723125-20-000082,2020-10-19,2026-05-15
MU,Micron,2019,2018-08-31,2019-08-29,23406000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000723125-21-000065,2021-10-08,2026-05-15
MU,Micron,2020,2019-08-30,2020-09-03,21435000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000723125-22-000048,2022-10-07,2026-05-15
MU,Micron,2021,2020-09-04,2021-09-02,27705000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000723125-23-000054,2023-10-06,2026-05-15
MU,Micron,2022,2021-09-03,2022-09-01,30758000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000723125-24-000027,2024-10-04,2026-05-15
MU,Micron,2023,2022-09-02,2023-08-31,15540000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000723125-25-000028,2025-10-03,2026-05-15
MU,Micron,2024,2023-09-01,2024-08-29,25111000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000723125-25-000028,2025-10-03,2026-05-15
MU,Micron,2025,2024-08-30,2025-08-28,37378000000,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0000723125-25-000028,2025-10-03,2026-05-15
NVDA,NVIDIA,2008,2007-01-29,2008-01-27,4097860000,Revenues,10-K,0001045810-10-000006,2010-03-18,2026-05-15
NVDA,NVIDIA,2009,2008-01-28,2009-01-25,3424859000,Revenues,10-K,0001045810-11-000015,2011-03-16,2026-05-15
NVDA,NVIDIA,2010,2009-01-26,2010-01-31,3326445000,Revenues,10-K,0001045810-12-000013,2012-03-13,2026-05-15
NVDA,NVIDIA,2011,2010-02-01,2011-01-30,3543309000,Revenues,10-K,0001045810-13-000008,2013-03-12,2026-05-15
NVDA,NVIDIA,2012,2011-01-31,2012-01-29,3997930000,Revenues,10-K,0001045810-14-000030,2014-03-13,2026-05-15
NVDA,NVIDIA,2013,2012-01-30,2013-01-27,4280159000,Revenues,10-K,0001045810-15-000036,2015-03-12,2026-05-15
NVDA,NVIDIA,2014,2013-01-28,2014-01-26,4130000000,Revenues,10-K,0001045810-16-000205,2016-03-17,2026-05-15
NVDA,NVIDIA,2015,2014-01-27,2015-01-25,4682000000,Revenues,10-K,0001045810-17-000027,2017-03-01,2026-05-15
NVDA,NVIDIA,2016,2015-01-26,2016-01-31,5010000000,Revenues,10-K,0001045810-18-000010,2018-02-28,2026-05-15
NVDA,NVIDIA,2017,2016-02-01,2017-01-29,6910000000,Revenues,10-K,0001045810-18-000010,2018-02-28,2026-05-15
NVDA,NVIDIA,2018,2017-01-30,2018-01-28,9714000000,Revenues,10-K,0001045810-18-000010,2018-02-28,2026-05-15
NVDA,NVIDIA,2020,2019-01-28,2020-01-26,10918000000,Revenues,10-K,0001045810-22-000036,2022-03-18,2026-05-15
NVDA,NVIDIA,2021,2020-01-27,2021-01-31,16675000000,Revenues,10-K,0001045810-23-000017,2023-02-24,2026-05-15
NVDA,NVIDIA,2022,2021-02-01,2022-01-30,26914000000,Revenues,10-K,0001045810-24-000029,2024-02-21,2026-05-15
NVDA,NVIDIA,2023,2022-01-31,2023-01-29,26974000000,Revenues,10-K,0001045810-25-000023,2025-02-26,2026-05-15
NVDA,NVIDIA,2024,2023-01-30,2024-01-28,60922000000,Revenues,10-K,0001045810-26-000021,2026-02-25,2026-05-15
NVDA,NVIDIA,2025,2024-01-29,2025-01-26,130497000000,Revenues,10-K,0001045810-26-000021,2026-02-25,2026-05-15
NVDA,NVIDIA,2026,2025-01-27,2026-01-25,215938000000,Revenues,10-K,0001045810-26-000021,2026-02-25,2026-05-15
